RA,Ano,Pedra,Defasagem,INDE,IAN,IDA,IEG,IAA,IPS,IPV,Target_Risco,IPP
RA-25,2022,AMETISTA,-1,7.979,5.0,6.9,8.3,8.3,8.8,9.667,1,
RA-26,2022,TOPAZIO,-1,8.677,5.0,8.0,8.8,9.6,10.0,10.0,1,
RA-27,2022,AMETISTA,-1,7.124,5.0,8.0,7.6,0.0,8.1,9.111,1,
RA-28,2022,AGATA,-1,6.242,5.0,5.0,6.1,7.9,7.5,6.333,1,
RA-29,2022,QUARTZO,-1,4.985,5.0,3.7,4.0,0.0,8.8,7.611,1,
RA-30,2022,AMETISTA,0,7.605,10.0,7.5,6.4,8.8,7.5,7.333,0,
RA-31,2022,TOPAZIO,-1,8.843,5.0,8.0,9.5,10.0,9.4,10.0,1,
RA-32,2022,AMETISTA,0,7.37,10.0,6.1,5.2,8.8,8.8,7.944,0,
RA-33,2022,QUARTZO,-1,4.952,5.0,4.8,4.6,0.0,7.5,6.0,1,
RA-34,2022,AGATA,-1,6.259,5.0,3.8,4.8,9.6,8.1,7.278,1,
RA-35,2022,TOPAZIO,-1,8.965,5.0,8.5,9.6,10.0,9.4,10.0,1,
RA-36,2022,AMETISTA,-1,7.876,5.0,6.8,9.0,9.2,6.9,8.944,1,
RA-37,2022,QUARTZO,-1,4.95,5.0,5.9,5.4,0.0,5.0,5.222,1,
RA-38,2022,TOPAZIO,-1,8.523,5.0,8.6,8.9,9.2,7.5,9.833,1,
RA-39,2022,AGATA,0,6.033,10.0,6.9,4.8,0.0,6.9,6.111,0,
RA-40,2022,AMETISTA,-1,7.203,5.0,6.8,7.8,7.9,7.5,7.75,1,
RA-41,2022,QUARTZO,-2,5.581,5.0,5.6,6.1,9.2,5.0,4.375,1,
RA-42,2022,AGATA,0,6.72,10.0,4.8,7.9,8.3,5.6,6.083,0,
RA-43,2022,QUARTZO,-1,5.486,5.0,4.3,6.5,6.3,5.6,5.958,1,
RA-44,2022,QUARTZO,-2,5.542,5.0,3.0,5.9,5.0,7.5,7.292,1,
RA-45,2022,AMETISTA,0,7.591,10.0,6.8,8.9,7.9,5.6,7.417,0,
RA-46,2022,AGATA,-2,6.048,5.0,2.1,8.4,8.8,6.3,7.083,1,
RA-47,2022,QUARTZO,-2,5.677,5.0,2.1,6.3,7.9,7.5,7.042,1,
RA-48,2022,AMETISTA,0,8.006,10.0,8.1,8.4,6.7,7.5,8.5,0,
RA-49,2022,AGATA,-2,6.304,5.0,3.9,7.4,7.5,7.5,7.042,1,
RA-50,2022,AMETISTA,-3,7.138,2.5,7.8,8.4,7.5,7.5,7.542,1,
RA-51,2022,AGATA,-2,6.488,5.0,5.0,7.6,8.8,7.5,6.5,1,
RA-52,2022,AMETISTA,2,7.861,10.0,6.2,8.9,9.6,7.5,7.5,0,
RA-53,2022,AGATA,-2,6.725,5.0,7.0,7.0,9.2,7.5,6.458,1,
RA-54,2022,AGATA,-1,6.058,5.0,4.8,6.9,7.9,7.5,6.125,1,
RA-55,2022,AGATA,-1,6.576,5.0,7.5,7.6,7.1,5.6,6.5,1,
RA-56,2022,TOPAZIO,0,8.404,10.0,7.0,10.0,10.0,7.5,8.25,0,
RA-57,2022,AMETISTA,-1,7.305,5.0,8.4,8.1,7.1,5.6,7.875,1,
RA-58,2022,TOPAZIO,0,8.136,10.0,7.2,9.2,9.6,6.3,8.125,0,
RA-59,2022,AMETISTA,-2,7.642,5.0,7.2,9.3,9.2,7.5,7.917,1,
RA-60,2022,QUARTZO,-3,5.537,2.5,4.9,6.0,6.7,7.5,6.167,1,
RA-61,2022,AMETISTA,0,7.533,10.0,5.8,7.4,9.2,7.5,7.875,0,
RA-62,2022,AMETISTA,-2,7.891,5.0,9.3,9.4,8.8,7.5,7.25,1,
RA-63,2022,TOPAZIO,-1,8.282,5.0,8.7,9.1,8.3,8.8,9.417,1,
RA-64,2022,AMETISTA,-1,7.368,5.0,7.5,8.1,7.1,8.1,8.25,1,
RA-65,2022,AMETISTA,-2,7.712,5.0,9.3,7.7,8.3,7.5,7.875,1,
RA-66,2022,QUARTZO,-2,5.665,5.0,4.5,5.6,7.5,7.5,5.917,1,
RA-67,2022,QUARTZO,-1,5.195,5.0,3.6,3.0,5.8,7.5,6.889,1,
RA-68,2022,AGATA,-1,6.438,5.0,4.0,6.0,8.3,7.5,7.944,1,
RA-69,2022,QUARTZO,-1,5.718,5.0,2.5,6.1,8.3,7.5,6.167,1,
RA-70,2022,QUARTZO,-1,5.712,5.0,2.9,6.6,8.8,5.0,6.111,1,
RA-71,2022,QUARTZO,-2,4.332,5.0,1.2,2.0,7.9,7.5,5.833,1,
RA-72,2022,AMETISTA,-2,7.64,5.0,7.8,7.5,8.3,7.5,8.667,1,
RA-73,2022,QUARTZO,-2,5.271,5.0,3.3,3.0,7.1,7.5,7.278,1,
RA-74,2022,QUARTZO,-1,4.989,5.0,2.0,3.3,9.6,7.5,5.833,1,
RA-75,2022,QUARTZO,-1,3.915,5.0,0.0,3.8,5.4,6.3,4.625,1,
RA-76,2022,TOPAZIO,0,9.105,10.0,8.7,9.1,10.0,8.1,9.292,0,
RA-77,2022,QUARTZO,-1,3.846,5.0,0.7,2.7,7.1,5.0,4.625,1,
RA-78,2022,AMETISTA,-2,7.04,5.0,7.2,6.6,8.3,5.6,8.0,1,
RA-79,2022,AGATA,-1,6.847,5.0,8.9,6.3,5.4,5.6,7.292,1,
RA-80,2022,AMETISTA,-1,7.29,5.0,7.1,8.3,9.2,5.0,7.625,1,
RA-81,2022,AMETISTA,1,7.675,10.0,6.0,9.2,9.2,5.0,7.458,0,
RA-82,2022,AGATA,-2,6.596,5.0,5.5,6.8,8.8,7.5,6.417,1,
RA-83,2022,AGATA,-2,6.671,5.0,6.8,6.8,7.9,7.5,5.958,1,
RA-84,2022,AGATA,-2,6.682,5.0,5.8,8.8,7.1,5.0,6.75,1,
RA-85,2022,AGATA,0,6.243,10.0,4.3,7.3,6.7,5.0,5.833,0,
RA-86,2022,AMETISTA,-1,7.566,5.0,6.7,9.6,7.5,5.6,8.458,1,
RA-87,2022,TOPAZIO,0,8.712,10.0,8.8,9.6,8.3,7.5,8.5,0,
RA-88,2022,AMETISTA,-2,7.498,5.0,6.5,9.2,7.1,5.6,9.208,1,
RA-89,2022,AMETISTA,-1,7.323,5.0,5.9,7.8,9.6,7.5,8.0,1,
RA-90,2022,TOPAZIO,2,9.442,10.0,8.5,9.7,10.0,9.4,9.75,0,
RA-91,2022,AGATA,-1,6.645,5.0,6.6,5.7,9.2,5.6,7.125,1,
RA-92,2022,AGATA,-1,6.957,5.0,7.4,7.1,9.2,5.0,6.667,1,
RA-93,2022,TOPAZIO,0,8.941,10.0,8.5,9.7,8.3,8.1,9.083,0,
RA-94,2022,TOPAZIO,0,8.921,10.0,7.7,9.6,8.3,8.1,9.583,0,
RA-95,2022,AGATA,-2,6.308,5.0,4.8,6.6,8.3,7.5,6.292,1,
RA-96,2022,AMETISTA,-1,7.54,5.0,6.7,7.8,9.2,6.9,8.5,1,
RA-97,2022,AMETISTA,0,7.468,10.0,6.9,8.8,7.5,5.0,6.292,0,
RA-98,2022,TOPAZIO,0,9.354,10.0,8.5,10.0,8.8,9.4,9.667,0,
RA-99,2022,AGATA,-1,6.158,5.0,5.0,6.3,8.8,7.5,5.833,1,
RA-100,2022,AMETISTA,1,7.618,10.0,7.6,7.8,8.8,5.0,7.25,0,
RA-101,2022,AMETISTA,-1,7.305,5.0,7.6,8.3,7.9,7.5,6.833,1,
RA-102,2022,AGATA,0,6.922,10.0,5.7,7.7,6.7,6.9,6.0,0,
RA-103,2022,TOPAZIO,1,8.107,10.0,7.3,8.7,7.9,7.5,7.708,0,
RA-104,2022,AGATA,-4,6.315,2.5,3.7,8.7,7.9,7.5,6.708,1,
RA-105,2022,AGATA,-3,6.846,2.5,6.7,8.2,7.9,5.6,7.417,1,
RA-106,2022,AMETISTA,-1,7.973,5.0,7.4,8.0,9.2,9.4,8.375,1,
RA-107,2022,AGATA,-1,6.258,5.0,4.6,6.4,7.5,7.5,6.5,1,
RA-108,2022,QUARTZO,-3,5.547,2.5,5.0,7.7,4.6,5.0,6.125,1,
RA-109,2022,TOPAZIO,-2,8.512,5.0,8.4,10.0,8.8,8.8,8.667,1,
RA-110,2022,TOPAZIO,0,8.15,10.0,6.7,9.7,9.2,5.6,8.0,0,
RA-111,2022,TOPAZIO,1,8.646,10.0,8.0,9.4,7.5,8.1,8.667,0,
RA-112,2022,AMETISTA,-1,7.836,5.0,8.5,7.8,7.9,6.3,8.833,1,
RA-113,2022,QUARTZO,-1,3.032,5.0,3.7,0.0,0.0,5.0,3.792,1,
RA-114,2022,QUARTZO,-2,5.894,5.0,5.3,6.3,7.9,7.5,5.0,1,
RA-115,2022,QUARTZO,-2,5.886,5.0,3.8,6.8,8.3,6.3,5.583,1,
RA-116,2022,AGATA,-2,6.854,5.0,5.9,8.1,5.8,6.3,7.792,1,
RA-117,2022,AGATA,-1,6.685,5.0,6.1,6.3,7.9,6.9,7.417,1,
RA-118,2022,QUARTZO,0,5.597,10.0,3.9,5.3,0.0,6.3,6.958,0,
RA-119,2022,AMETISTA,0,7.501,10.0,5.4,8.2,8.3,5.6,7.875,0,
RA-120,2022,AGATA,-1,6.825,5.0,6.2,5.9,8.3,7.5,7.667,1,
RA-121,2022,AMETISTA,-2,7.245,5.0,7.2,8.4,7.1,6.3,7.625,1,
RA-122,2022,QUARTZO,0,5.061,10.0,1.8,3.4,7.9,7.5,4.958,0,
RA-123,2022,AMETISTA,-2,7.084,5.0,6.5,8.6,7.9,5.6,7.292,1,
RA-124,2022,AMETISTA,0,7.388,10.0,6.7,7.8,7.9,5.0,7.167,0,
RA-125,2022,AMETISTA,-1,7.619,5.0,7.1,8.5,8.8,7.5,7.75,1,
RA-126,2022,AGATA,-1,6.289,5.0,4.4,5.8,7.1,7.5,7.417,1,
RA-127,2022,TOPAZIO,0,8.283,10.0,7.9,8.7,7.5,7.5,8.125,0,
RA-128,2022,QUARTZO,-1,5.563,5.0,5.6,6.2,0.0,7.5,6.167,1,
RA-129,2022,AGATA,-1,6.926,5.0,6.7,6.4,6.7,7.5,7.792,1,
RA-130,2022,QUARTZO,-2,5.624,5.0,4.1,4.7,8.3,5.0,6.5,1,
RA-131,2022,AMETISTA,-1,7.174,5.0,5.6,9.0,8.8,5.6,7.75,1,
RA-132,2022,TOPAZIO,0,8.355,10.0,7.7,8.8,10.0,5.6,8.458,0,
RA-133,2022,AGATA,-1,6.875,5.0,5.6,7.1,7.9,7.5,7.625,1,
RA-134,2022,AGATA,-1,6.607,5.0,4.7,6.8,8.8,7.5,7.375,1,
RA-135,2022,AMETISTA,-1,7.692,5.0,8.6,7.8,8.3,5.6,8.583,1,
RA-136,2022,AGATA,-1,6.478,5.0,4.6,6.3,10.0,7.5,6.667,1,
RA-137,2022,AMETISTA,-3,7.056,2.5,7.3,8.9,7.5,5.0,7.792,1,
RA-138,2022,AGATA,-1,6.738,5.0,5.6,8.0,9.6,5.6,6.375,1,
RA-139,2022,QUARTZO,-3,3.738,2.5,1.4,3.5,7.1,5.0,3.917,1,
RA-140,2022,AMETISTA,0,7.407,10.0,5.7,7.6,7.9,6.9,7.667,0,
RA-141,2022,AMETISTA,0,7.118,10.0,5.7,8.2,9.2,5.6,5.917,0,
RA-142,2022,AMETISTA,0,7.457,10.0,6.3,8.6,6.7,5.6,7.583,0,
RA-143,2022,TOPAZIO,1,8.638,10.0,7.9,9.9,8.3,5.6,9.5,0,
RA-144,2022,TOPAZIO,0,8.181,10.0,7.9,9.3,7.5,5.0,8.292,0,
RA-145,2022,QUARTZO,-2,5.846,5.0,5.2,6.3,0.0,8.1,7.25,1,
RA-146,2022,AMETISTA,-1,7.947,5.0,7.9,9.2,8.3,7.5,8.208,1,
RA-147,2022,AMETISTA,0,7.541,10.0,6.1,7.7,8.3,7.5,7.25,0,
RA-148,2022,AMETISTA,0,7.894,10.0,5.3,7.9,9.2,10.0,7.708,0,
RA-149,2022,AGATA,-1,6.323,5.0,5.0,6.5,9.2,7.5,6.125,1,
RA-150,2022,AGATA,-2,6.962,5.0,6.9,6.3,9.6,6.9,7.333,1,
RA-151,2022,AMETISTA,-2,7.563,5.0,8.3,7.5,8.8,6.9,7.958,1,
RA-152,2022,AGATA,-2,6.712,5.0,6.5,7.0,8.3,7.5,6.292,1,
RA-153,2022,AMETISTA,0,7.535,10.0,6.6,8.2,7.9,5.0,7.708,0,
RA-154,2022,AGATA,-1,6.073,5.0,4.0,6.1,8.3,6.3,6.833,1,
RA-155,2022,AMETISTA,-2,7.051,5.0,5.2,8.3,10.0,7.5,6.833,1,
RA-156,2022,AMETISTA,-1,7.357,5.0,4.4,8.3,10.0,9.4,7.792,1,
RA-157,2022,TOPAZIO,1,8.317,10.0,7.7,10.0,7.5,6.3,8.292,0,
RA-158,2022,AMETISTA,-3,7.302,2.5,6.6,9.8,7.9,5.6,8.125,1,
RA-159,2022,AGATA,-1,6.49,5.0,4.7,8.1,8.3,5.6,6.458,1,
RA-160,2022,AGATA,-1,6.746,5.0,5.3,7.2,7.5,5.6,8.25,1,
RA-161,2022,AMETISTA,2,7.957,10.0,6.9,9.1,7.9,5.6,8.083,0,
RA-162,2022,AMETISTA,0,7.215,10.0,5.5,8.5,6.7,7.5,6.542,0,
RA-163,2022,AGATA,-1,6.797,5.0,6.7,7.9,8.8,5.6,6.5,1,
RA-164,2022,AGATA,-2,6.776,5.0,6.5,7.3,8.3,5.6,7.208,1,
RA-165,2022,TOPAZIO,0,8.063,10.0,7.6,9.8,7.1,5.6,7.5,0,
RA-166,2022,TOPAZIO,0,8.253,10.0,8.1,9.0,9.2,6.3,7.542,0,
RA-167,2022,AMETISTA,-2,7.798,5.0,7.9,9.7,9.2,5.6,7.833,1,
RA-168,2022,AGATA,-1,6.917,5.0,5.9,8.3,7.9,6.3,7.083,1,
RA-169,2022,QUARTZO,-1,5.159,5.0,3.2,5.1,7.5,6.3,4.792,1,
RA-170,2022,AGATA,0,7.007,10.0,4.9,9.2,8.3,5.6,5.792,0,
RA-171,2022,AGATA,-2,6.581,5.0,5.5,6.8,7.5,7.5,6.875,1,
RA-172,2022,TOPAZIO,0,8.673,10.0,7.3,8.9,9.2,9.4,8.917,0,
RA-173,2022,AMETISTA,-3,7.816,2.5,7.9,9.2,8.3,6.9,9.25,1,
RA-174,2022,AGATA,-1,6.075,5.0,4.4,6.2,7.9,7.5,6.042,1,
RA-175,2022,AGATA,-1,6.75,5.0,5.9,9.2,8.3,5.6,5.833,1,
RA-176,2022,TOPAZIO,0,8.427,10.0,6.9,9.1,9.6,5.6,9.083,0,
RA-177,2022,AMETISTA,0,7.424,10.0,6.8,8.8,7.9,4.4,6.958,0,
RA-178,2022,AGATA,0,7.025,10.0,6.3,8.8,0.0,4.4,8.458,0,
RA-179,2022,AMETISTA,0,7.993,10.0,6.1,9.2,7.5,7.5,8.042,0,
RA-180,2022,TOPAZIO,0,8.442,10.0,8.1,8.3,9.2,6.3,8.625,0,
RA-181,2022,TOPAZIO,0,8.623,10.0,6.8,9.5,9.2,8.8,8.458,0,
RA-182,2022,AGATA,-3,6.328,2.5,4.1,8.0,7.5,7.5,6.958,1,
RA-183,2022,AMETISTA,0,7.3,10.0,3.8,8.8,8.3,7.5,7.25,0,
RA-184,2022,AMETISTA,-3,7.28,2.5,7.2,7.7,8.8,7.5,8.0,1,
RA-185,2022,AGATA,-2,6.615,5.0,4.5,7.7,7.9,7.5,6.875,1,
RA-186,2022,AMETISTA,0,7.832,10.0,6.6,8.5,8.3,7.5,7.5,0,
RA-187,2022,AMETISTA,0,7.928,10.0,5.8,8.9,8.8,7.5,7.917,0,
RA-188,2022,QUARTZO,-1,5.307,5.0,2.7,6.1,0.0,7.5,7.583,1,
RA-189,2022,AMETISTA,-1,7.629,5.0,7.2,9.7,10.0,5.0,7.333,1,
RA-190,2022,AMETISTA,0,7.335,10.0,6.3,6.9,6.7,8.8,7.25,0,
RA-191,2022,TOPAZIO,0,8.74,10.0,7.2,9.4,10.0,8.8,8.5,0,
RA-192,2022,QUARTZO,-2,4.932,5.0,2.7,3.6,8.8,7.5,4.708,1,
RA-193,2022,TOPAZIO,0,8.155,10.0,6.7,8.9,9.2,5.6,8.5,0,
RA-194,2022,QUARTZO,-1,4.265,5.0,3.2,6.2,0.0,5.0,3.75,1,
RA-195,2022,AMETISTA,0,8.017,10.0,6.3,9.2,8.8,5.0,8.25,0,
RA-196,2022,TOPAZIO,0,8.124,10.0,5.1,9.1,9.2,7.5,8.625,0,
RA-197,2022,TOPAZIO,0,8.218,10.0,7.3,9.7,8.8,4.4,8.292,0,
RA-198,2022,QUARTZO,0,5.554,10.0,4.6,6.2,0.0,5.0,5.958,0,
RA-199,2022,AMETISTA,0,7.564,10.0,7.5,7.1,8.3,7.5,6.458,0,
RA-200,2022,QUARTZO,-2,5.705,5.0,5.5,5.6,7.9,4.4,4.917,1,
RA-201,2022,AMETISTA,-2,7.078,5.0,6.5,7.3,7.9,7.5,7.542,1,
RA-202,2022,QUARTZO,-1,5.201,5.0,5.4,5.2,0.0,4.4,6.917,1,
RA-203,2022,QUARTZO,-1,5.669,5.0,2.8,4.3,8.8,7.5,6.875,1,
RA-204,2022,AGATA,0,6.943,10.0,7.4,6.7,7.9,4.4,5.708,0,
RA-205,2022,QUARTZO,-1,5.372,5.0,4.1,3.8,9.6,7.5,4.833,1,
RA-206,2022,AMETISTA,0,7.101,10.0,5.0,8.8,8.3,7.5,5.167,0,
RA-207,2022,QUARTZO,-3,4.936,2.5,5.8,4.8,0.0,7.5,5.708,1,
RA-208,2022,AGATA,-1,6.667,5.0,6.1,7.1,7.5,7.5,6.417,1,
RA-209,2022,QUARTZO,-1,4.499,5.0,6.0,4.8,0.0,5.6,3.75,1,
RA-210,2022,QUARTZO,-1,4.44,5.0,3.4,5.1,0.0,7.5,4.417,1,
RA-211,2022,TOPAZIO,0,8.465,10.0,7.6,8.8,9.2,7.5,8.458,0,
RA-212,2022,AMETISTA,-1,7.268,5.0,6.2,8.4,9.6,7.5,6.958,1,
RA-213,2022,AMETISTA,0,7.209,10.0,3.5,8.7,9.6,7.5,6.833,0,
RA-214,2022,QUARTZO,-2,4.87,5.0,4.3,6.1,0.0,7.5,5.125,1,
RA-215,2022,AMETISTA,0,7.172,10.0,7.8,5.8,6.7,7.5,6.542,0,
RA-216,2022,AMETISTA,0,7.502,10.0,7.0,8.5,7.9,7.5,5.583,0,
RA-217,2022,AMETISTA,-2,7.397,5.0,7.1,8.5,7.9,7.5,7.292,1,
RA-218,2022,AGATA,-1,6.1,5.0,4.0,7.3,6.3,7.5,6.125,1,
RA-219,2022,QUARTZO,-3,5.942,2.5,3.5,6.9,8.8,7.5,6.375,1,
RA-220,2022,AGATA,0,7.028,10.0,6.5,8.1,0.0,7.5,7.833,0,
RA-221,2022,AGATA,-1,6.892,5.0,5.2,8.5,9.6,7.5,6.0,1,
RA-222,2022,QUARTZO,-2,5.604,5.0,6.2,4.6,7.1,7.5,4.917,1,
RA-223,2022,QUARTZO,0,4.966,10.0,3.1,4.6,0.0,7.5,5.583,0,
RA-224,2022,QUARTZO,0,5.671,10.0,2.6,4.3,9.6,7.5,4.875,0,
RA-225,2022,QUARTZO,-1,5.918,5.0,5.0,5.3,8.3,7.5,5.708,1,
RA-226,2022,AGATA,-1,6.549,5.0,6.8,6.1,7.5,7.5,6.208,1,
RA-227,2022,AGATA,0,6.471,10.0,3.3,6.4,9.2,7.5,5.833,0,
RA-228,2022,AGATA,-2,6.196,5.0,4.8,6.7,7.5,7.5,6.417,1,
RA-229,2022,TOPAZIO,0,8.62,10.0,6.9,9.4,10.0,7.5,8.5,0,
RA-230,2022,AGATA,-1,6.328,5.0,5.7,5.1,7.9,7.5,6.75,1,
RA-231,2022,AGATA,-1,6.116,5.0,3.8,7.4,8.8,7.5,5.333,1,
RA-232,2022,QUARTZO,0,4.245,10.0,0.0,4.9,0.0,7.5,4.542,0,
RA-233,2022,AGATA,-1,6.051,5.0,3.8,7.4,7.9,7.5,5.5,1,
RA-234,2022,AGATA,0,6.719,10.0,4.3,7.6,10.0,5.6,5.583,0,
RA-235,2022,AGATA,-1,6.79,5.0,6.3,7.3,8.3,7.5,6.417,1,
RA-236,2022,AMETISTA,0,7.11,10.0,3.7,7.5,9.6,7.5,7.208,0,
RA-237,2022,TOPAZIO,-1,8.084,5.0,7.8,9.0,10.0,7.5,8.417,1,
RA-238,2022,AGATA,-1,6.331,5.0,5.1,6.4,8.8,5.0,7.208,1,
RA-239,2022,QUARTZO,-2,4.572,5.0,3.7,3.7,0.0,7.5,5.958,1,
RA-240,2022,AGATA,0,6.943,10.0,4.7,8.1,7.1,5.0,7.042,0,
RA-241,2022,TOPAZIO,-1,8.468,5.0,7.7,10.0,10.0,7.5,9.125,1,
RA-242,2022,TOPAZIO,0,8.673,10.0,8.2,9.7,9.6,5.6,8.708,0,
RA-243,2022,AGATA,-2,6.982,5.0,6.0,8.7,7.1,5.0,7.875,1,
RA-244,2022,TOPAZIO,0,8.51,10.0,7.8,9.4,7.5,6.3,9.208,0,
RA-245,2022,TOPAZIO,-1,8.656,5.0,8.4,9.9,10.0,7.5,9.25,1,
RA-246,2022,TOPAZIO,0,8.639,10.0,7.6,9.4,8.3,7.5,9.167,0,
RA-247,2022,AMETISTA,0,7.72,10.0,5.8,8.2,8.3,7.5,7.875,0,
RA-248,2022,AMETISTA,0,7.429,10.0,5.2,7.6,9.2,7.5,7.292,0,
RA-249,2022,QUARTZO,-1,5.097,5.0,2.9,7.4,6.7,5.0,4.292,1,
RA-250,2022,AMETISTA,0,7.958,10.0,6.6,8.6,8.3,7.5,7.625,0,
RA-251,2022,AGATA,-2,7.022,5.0,6.3,8.1,10.0,5.6,6.625,1,
RA-252,2022,QUARTZO,-1,4.277,5.0,0.9,2.8,9.2,7.5,3.875,1,
RA-253,2022,QUARTZO,-2,4.312,5.0,1.8,3.6,9.2,5.0,3.75,1,
RA-254,2022,AGATA,-1,6.715,5.0,5.3,7.4,10.0,5.6,6.917,1,
RA-255,2022,QUARTZO,-1,4.563,5.0,1.3,3.8,7.5,5.0,5.542,1,
RA-256,2022,AMETISTA,0,7.192,10.0,5.2,8.5,8.8,5.0,6.708,0,
RA-257,2022,QUARTZO,-1,5.149,5.0,3.6,6.4,0.0,5.6,6.708,1,
RA-258,2022,AGATA,0,6.926,10.0,4.8,7.3,10.0,5.6,6.125,0,
RA-259,2022,QUARTZO,-3,4.182,2.5,0.9,2.9,8.8,7.5,4.625,1,
RA-260,2022,AMETISTA,0,7.44,10.0,5.0,8.2,10.0,7.5,6.458,0,
RA-261,2022,AGATA,-1,6.763,5.0,5.8,7.2,8.8,5.6,7.042,1,
RA-262,2022,QUARTZO,-2,4.786,5.0,3.4,5.8,0.0,5.6,5.625,1,
RA-263,2022,QUARTZO,-2,5.319,5.0,3.7,5.6,5.8,7.5,4.417,1,
RA-264,2022,AMETISTA,-2,7.087,5.0,5.8,9.2,10.0,5.6,6.625,1,
RA-265,2022,AMETISTA,0,7.926,10.0,6.9,7.7,8.3,7.5,7.917,0,
RA-266,2022,QUARTZO,-3,5.987,2.5,6.0,5.8,7.5,5.6,6.583,1,
RA-267,2022,AGATA,-2,6.012,5.0,3.3,7.4,10.0,5.0,6.292,1,
RA-268,2022,AGATA,-1,6.695,5.0,5.7,6.7,9.2,6.3,7.208,1,
RA-269,2022,TOPAZIO,0,8.231,10.0,8.9,8.6,9.2,6.3,7.25,0,
RA-270,2022,TOPAZIO,0,8.226,10.0,7.9,8.4,8.3,6.9,8.125,0,
RA-271,2022,AMETISTA,-2,7.255,5.0,7.1,8.5,9.2,5.6,6.958,1,
RA-272,2022,AGATA,-1,6.361,5.0,5.1,5.7,9.2,7.5,6.417,1,
RA-273,2022,QUARTZO,-1,5.679,5.0,3.0,5.3,9.2,7.5,5.833,1,
RA-274,2022,AMETISTA,1,7.946,10.0,8.1,8.3,7.9,7.5,7.0,0,
RA-275,2022,AGATA,-2,6.665,5.0,4.6,6.9,9.6,7.5,6.667,1,
RA-276,2022,QUARTZO,-1,5.527,5.0,4.3,5.7,7.1,5.6,5.125,1,
RA-277,2022,AMETISTA,-1,7.411,5.0,7.4,8.8,7.1,7.5,7.208,1,
RA-278,2022,AMETISTA,0,7.741,10.0,6.0,9.2,8.8,5.6,7.417,0,
RA-279,2022,TOPAZIO,0,8.815,10.0,9.1,9.9,9.2,6.3,8.208,0,
RA-280,2022,AMETISTA,0,8.046,10.0,7.1,9.2,7.5,7.5,7.333,0,
RA-281,2022,AGATA,0,6.806,10.0,5.9,6.9,6.7,7.5,5.625,0,
RA-282,2022,AGATA,0,6.618,10.0,4.0,6.8,8.8,7.5,5.625,0,
RA-283,2022,AMETISTA,-1,7.131,5.0,5.6,8.8,9.6,7.5,6.625,1,
RA-284,2022,QUARTZO,0,5.939,10.0,3.8,5.1,6.7,5.6,5.958,0,
RA-285,2022,QUARTZO,-3,5.063,2.5,2.8,4.1,9.2,7.5,5.75,1,
RA-286,2022,QUARTZO,-2,5.424,5.0,3.0,5.8,7.1,6.3,5.625,1,
RA-287,2022,QUARTZO,-4,3.7,2.5,1.1,3.4,7.9,5.0,4.292,1,
